Overall rank,country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
77,Portugal,5.41,1.188,1.429,0.884,0.562,0.055,0.017,194,67,339,11.0,Europe
32,Qatar,6.374,1.649,1.3030000000000002,0.748,0.654,0.256,0.171,1,42,7,0.9,Asia
52,Romania,5.945,1.1159999999999999,1.219,0.726,0.528,0.08800000000000001,0.001,297,122,167,10.4,Europe
151,Rwanda,3.408,0.332,0.8959999999999999,0.4,0.636,0.2,0.444,43,2,0,6.8,Africa
33,Saudi Arabia,6.371,1.379,1.331,0.633,0.509,0.098,0.127,0,5,0,0.1,Asia
109,Senegal,4.631,0.429,1.117,0.433,0.406,0.138,0.08199999999999999,9,1,7,0.3,Africa
78,Serbia,5.398,0.975,1.369,0.685,0.28800000000000003,0.134,0.043,283,131,127,9.6,Europe
113,Sierra Leone,4.571000000000001,0.256,0.813,0.0,0.355,0.23800000000000002,0.053,25,3,2,6.7,Africa
34,Singapore,6.343,1.5290000000000001,1.4509999999999998,1.008,0.631,0.261,0.457,60,12,11,1.5,Asia
39,Slovakia,6.172999999999999,1.21,1.537,0.7759999999999999,0.354,0.11800000000000001,0.013999999999999999,196,293,116,11.4,Europe
51,Slovenia,5.9479999999999995,1.219,1.506,0.856,0.633,0.16,0.051,270,51,276,10.6,Europe
98,Somalia,4.982,0.0,0.7120000000000001,0.115,0.674,0.23800000000000002,0.282,0,0,0,0.0,Africa
105,South Africa,4.724,0.94,1.41,0.33,0.516,0.10300000000000001,0.055999999999999994,225,76,81,8.2,Africa
57,South Korea,5.875,1.266,1.204,0.955,0.244,0.175,0.051,140,16,9,9.8,Asia
36,Spain,6.31,1.251,1.538,0.965,0.449,0.142,0.07400000000000001,284,157,112,10.0,Europe
116,Sri Lanka,4.471,0.9179999999999999,1.314,0.672,0.585,0.307,0.05,16,104,0,2.2,Asia
137,Sudan,4.138999999999999,0.605,1.24,0.312,0.016,0.134,0.08199999999999999,8,13,0,1.7,Africa
9,Sweden,7.314,1.355,1.501,0.9129999999999999,0.659,0.285,0.38299999999999995,152,60,186,7.2,Europe
5,Switzerland,7.487,1.42,1.5490000000000002,0.927,0.66,0.256,0.35700000000000004,185,100,280,10.2,Europe
150,Syria,3.4619999999999997,0.6890000000000001,0.382,0.539,0.08800000000000001,0.376,0.14400000000000002,5,35,16,1.0,Asia
88,Tajikistan,5.199,0.474,1.166,0.598,0.292,0.187,0.034,2,15,0,0.3,Asia
153,Tanzania,3.303,0.455,0.991,0.381,0.48100000000000004,0.27,0.09699999999999999,36,6,1,5.7,Africa
46,Thailand,6.072,1.016,1.4169999999999998,0.7070000000000001,0.637,0.364,0.028999999999999998,99,258,1,6.4,Asia
139,Togo,3.9989999999999997,0.259,0.474,0.253,0.434,0.158,0.10099999999999999,36,2,19,1.3,Africa
38,Trinidad & Tobago,6.192,1.2229999999999999,1.492,0.564,0.575,0.171,0.019,197,156,7,6.4,North America
111,Tunisia,4.592,0.9,0.9059999999999999,0.69,0.271,0.04,0.063,51,3,20,1.3,Africa
74,Turkey,5.483,1.148,1.38,0.6859999999999999,0.324,0.106,0.109,51,22,7,1.4,Asia
68,Turkmenistan,5.636,1.016,1.5330000000000001,0.517,0.41700000000000004,0.19899999999999998,0.037000000000000005,19,71,32,2.2,Asia
135,Uganda,4.1610000000000005,0.322,1.09,0.237,0.45,0.259,0.061,45,9,0,8.3,Africa
138,Ukraine,4.103,0.7929999999999999,1.413,0.609,0.163,0.187,0.011000000000000001,206,237,45,8.9,Europe
11,United Kingdom,7.19,1.244,1.433,0.888,0.46399999999999997,0.262,0.08199999999999999,219,126,195,10.4,Europe
31,Uruguay,6.379,1.093,1.459,0.7709999999999999,0.625,0.13,0.155,115,35,220,6.6,South America
44,Uzbekistan,6.096,0.7190000000000001,1.584,0.605,0.7240000000000001,0.32799999999999996,0.259,25,101,8,2.4,Asia
102,Venezuela,4.806,0.996,1.469,0.657,0.133,0.055999999999999994,0.052000000000000005,333,100,3,7.7,South America
95,Vietnam,5.103,0.715,1.365,0.7020000000000001,0.618,0.177,0.079,111,2,1,2.0,Asia
152,Yemen,3.355,0.442,1.073,0.34299999999999997,0.244,0.083,0.064,6,0,0,0.1,Asia
125,Zambia,4.377,0.562,1.047,0.295,0.503,0.221,0.08199999999999999,32,19,4,2.5,Africa
144,Zimbabwe,3.6919999999999997,0.35700000000000004,1.094,0.248,0.406,0.132,0.099,64,18,4,4.7,Africa
